gene,siRNA,efficacy,rna_seq,dnase,splice_usage
P2RX3,A2342,0.844,0.0356743186712265,0.04421083629131317,1.7309198483417276e-06
P2RX3,A2343,0.677,0.02336772345006466,0.07620356976985931,0.004877416417002678
P2RX3,A2344,0.679,0.026033654808998108,0.043873436748981476,2.075594011330395e-06
P2RX3,A2346,0.941,0.028560595586895943,0.04431815817952156,1.3509203427020111e-06
P2RX3,A2347,0.802,0.028590679168701172,0.05229487270116806,1.0906018133027828e-06
P2RX3,A2348,0.93,0.0290740467607975,0.0667811781167984,1.3118343531459686e-06
P2RX3,A2349,0.949,0.02537936344742775,0.13728336989879608,1.3021914128330536e-05
P2RX3,A2350,0.658,0.026716426014900208,0.18727222084999084,1.3199902468841174e-06
P2RX3,A2351,0.937,0.02877451665699482,0.2240586280822754,1.4007397339810268e-06
P2RX3,A2352,0.706,0.028840448707342148,0.03859563544392586,8.979224617178261e-07
P2RX3,A2353,0.929,0.029191428795456886,0.04273535683751106,8.197639544960111e-07
P2RX3,A2355,0.914,0.026826685294508934,0.07063548266887665,0.006159477401524782
P2RX3,A2356,0.135,0.026701021939516068,0.06174298748373985,5.828768507853965e-07
P2RX3,A2357,0.238,0.025070849806070328,0.07246549427509308,6.121213118603919e-07
P2RX3,A2358,0.718,0.025606578215956688,0.07459911704063416,6.599000812457234e-07
P2RX3,A2359,0.674,0.025442475453019142,0.06559588015079498,1.271632299904013e-06
P2RX3,A2363,0.792,0.028994712978601456,0.03174477815628052,5.132701517140958e-07
P2RX3,A2364,0.989,0.027009177953004837,0.04506747052073479,6.124527089923504e-07
P2RX3,A2365,0.859,0.025729866698384285,0.028422625735402107,0.004442189820110798
P2RX3,A2367,0.431,0.03098348155617714,0.08092261850833893,8.43867894673167e-07
P2RX3,A2368,0.339,0.030758770182728767,0.079473577439785,8.30091153147805e-07
P2RX3,A2369,0.534,0.030526956543326378,0.061490852385759354,1.111000415221497e-06
P2RX3,A2370,0.612,0.028765417635440826,0.06517501175403595,1.2667760529438965e-06
P2RX3,A2372,0.468,0.026252014562487602,0.06948327273130417,1.3895044048695127e-06
P2RX3,A2373,0.747,0.026283685117959976,0.06364613771438599,1.72858699443168e-06
